depth_m,azimuth_rad,altitude_rad,velocity_mps
90.8000793,-0.261799395,0.112199746,-2.08839536
53.5914078,-0.261799395,0.186999574,-2.06497097
38.5380325,-0.261799395,0.261799395,-2.02999949
91.5876236,-0.186999574,0.112199746,-1.354388
53.6608925,-0.186999574,0.186999574,-1.3391974
38.5380325,-0.186999574,0.261799395,-1.31651616
92.084877,-0.112199731,0.112199746,-0.612805367
53.6969604,-0.112199731,0.186999574,-0.605932236
38.5380325,-0.112199731,0.261799395,-0.5956707
92.2419281,-0.0373999104,0.112199746,0.132202625
53.7254295,-0.0373999104,0.186999574,0.130720615
38.5380325,-0.0373999104,0.261799395,0.128506184
92.1710663,0.0373999253,0.112199746,0.87647295
53.4998894,0.0373999253,0.186999574,0.866642952
38.5380287,0.0373999253,0.261799395,0.851964951
91.4583969,0.112199746,0.112199746,1.61584139
53.0805931,0.112199746,0.186999574,1.597718
38.5380325,0.112199746,0.261799395,1.57065868
90.6849899,0.186999574,0.112199746,2.34617257
52.8497429,0.186999574,0.186999574,2.31985712
38.5380325,0.186999574,0.261799395,2.28056884
91.1021881,0.261799395,0.112199746,3.06338286
53.9277039,0.261799395,0.186999574,3.02902365
38.5380287,0.261799395,0.261799395,2.97772479
